id,name
1,千代田区
2,中央区
3,港区
4,新宿区
5,文京区
6,台東区
7,墨田区
8,江東区
9,品川区
10,目黒区
11,大田区
12,世田谷区
13,渋谷区
14,中野区
15,杉並区
16,豊島区
17,北区
18,荒川区
19,板橋区
20,練馬区
21,足立区
22,葛飾区
23,江戸川区
24,八王子市
25,立川市
26,武蔵野市
27,三鷹市
28,青梅市
29,府中市
30,昭島市
31,調布市
32,町田市
33,小金井市
34,小平市
35,日野市
36,東村山市
37,国分寺市
38,国立市
39,福生市
40,狛江市
41,東大和市
42,清瀬市
43,東久留米市
44,武蔵村山市
45,多摩市
46,稲城市
47,羽村市
48,あきる野市
49,西東京市
50,瑞穂町
51,日の出町
52,檜原村
53,奥多摩町
54,大島町
55,利島村
56,新島村
57,神津島村
58,三宅村
59,御蔵島村
60,八丈町
61,青ヶ島村
62,小笠原村
